distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,1,10,3,0.975,0,12,5490.795734179495,4547.233677428076,4566.349192667296,4716.282403372005,6115.584777139083,4694,3037
norm,1,10,3,0.975,1,12,5855.991360612128,4312.652534905865,4332.542220555173,4477.3334596626855,5372.59287257672,1370,3270
norm,1,10,3,0.975,2,12,5836.105802595921,4325.135751168848,4325.135751168848,4512.416572424352,6042.98784788818,8126,9833
norm,1,10,3,0.975,3,12,5923.468649995282,4373.540643340204,4399.180865159734,4526.999736725401,5527.688994473321,464,8464
norm,1,10,3,0.975,4,12,5948.380862382386,4113.577670816714,4126.136014121924,4262.645676590652,6462.5928802987955,1170,6451
norm,1,10,3,0.975,5,12,5631.044518453142,4474.33097655617,4499.137594315318,4636.404725527182,5927.292070089377,3184,7737
norm,1,10,3,0.975,6,12,5512.482211966883,4886.844185436413,4917.638465185572,5066.029520704432,5995.987633631984,8915,3776
norm,1,10,3,0.975,7,12,5457.481888275554,4760.600980925223,4793.689230673732,4931.507299747925,6700.004189994333,9636,3109
norm,1,10,3,0.975,8,12,5909.337664492736,4155.468450420033,4167.017973775813,4299.90931632838,6166.03438350982,6379,8988
norm,1,10,3,0.975,9,12,5583.709411945149,4656.302438446685,4688.468028739779,4842.195383372005,6180.005491631267,736,9474
norm,1,10,3,0.99,0,12,5513.292460903616,4552.709550754872,4581.971642389312,4838.111202014699,6584.761851815475,1993,6698
norm,1,10,3,0.99,1,12,5540.820995321316,5644.920854291758,5684.636261600999,5886.467436469365,7009.4623285746775,1864,1223
norm,1,10,3,0.99,2,12,5562.938798433382,4700.456737571888,4834.758954674688,4881.656233776348,6284.567894683107,9185,4931
norm,1,10,3,0.99,3,12,5465.894471841091,4966.302745414042,4997.022566307582,5140.947837316249,6306.935186716089,1645,5677
norm,1,10,3,0.99,4,12,5497.294649415278,4912.282052680537,4912.282052680537,5103.47690610799,6013.886634331571,7602,6035
norm,1,10,3,0.99,5,12,5494.146416050043,5071.461572854654,5106.517719865078,5245.371485864418,6912.540428048665,6321,2059
norm,1,10,3,0.99,6,12,5482.330756587278,4762.378040564195,4762.378040564195,4938.494969976259,7183.307865274774,4259,4519
norm,1,10,3,0.99,7,12,5840.974788017136,4294.753735010388,4314.649292488325,4449.352662030851,5608.476303063375,7180,2580
norm,1,10,3,0.99,8,12,5447.555029391713,4786.330339736039,4815.498045798368,4957.655156574012,6415.245149249904,8127,8064
norm,2,3,1,0.95,0,6,2825.105882988569,3323.2179488560705,3323.2179488560705,3186.54052074433,3319.568382677513,5059,6485
norm,1,10,3,0.99,9,12,5461.0166346345495,4677.319071093172,4704.400244882779,4850.882080226794,6158.765185523723,4735,8730
norm,2,3,1,0.95,1,6,2854.0764242727664,3280.7659811837602,3280.7659811837602,3267.610876022715,3431.014878193648,2136,2719
norm,2,3,1,0.95,2,6,2887.828417601648,3743.323983791571,3748.814637641296,3774.032812716053,3600.758248829513,4772,8319
norm,2,3,1,0.95,3,6,2819.17715335506,3474.993044837993,3474.993044837993,3509.1810903413593,3331.3630226296523,5513,3284
norm,2,3,1,0.95,4,6,2814.424411136049,3532.105510339478,3531.407741614825,3790.9957624998788,3570.490068168443,3105,99
norm,2,3,1,0.95,5,6,2839.5269521948326,3578.91032157832,3577.295363437792,3600.47630230425,3550.0446222336823,1788,7809
norm,2,3,1,0.95,6,6,2818.880104632697,3487.936594278965,3486.619088342863,3395.3959185537306,3321.6341354280053,831,4429
norm,2,3,1,0.95,7,6,2820.095102038788,3471.8664471380234,3469.4659465349932,3402.6400448345535,3422.1362326178555,7870,8820
norm,2,3,1,0.95,8,6,2830.083906700155,3339.171838787037,3339.171838787037,3199.0709265143664,3303.596200630842,3604,8043
norm,2,3,1,0.95,9,6,2827.3369957863297,3576.176524265055,3572.784079128241,3617.7110560972246,3537.3163865935685,9769,7491
norm,2,3,1,0.975,0,6,2821.466224967297,3520.1932174178737,3508.347390377964,3472.8511514924994,3710.4067600146805,6927,7799
norm,2,3,1,0.975,1,6,2824.0248646188834,3480.0310784485396,3480.0310784485396,3389.592476948684,3820.5201493393283,4059,9458
norm,2,3,1,0.975,2,6,2896.6164999053067,3764.5550796904313,3772.7948524909093,3812.7029796857687,3687.1448128504653,7415,2459
norm,2,3,1,0.975,3,6,2916.0440018820655,3798.160755909118,3803.7952541006944,3999.339572981023,3809.6297094274514,905,3355
norm,2,3,1,0.975,4,6,2828.5135993699987,3558.2182283039688,3555.3441452157645,3480.611078178313,3533.15563543286,5838,205
norm,2,3,1,0.975,5,6,2925.1640030733543,3834.093483461655,3836.5850349053403,3897.188911091501,3773.903826108215,9818,220
norm,2,3,1,0.975,6,6,2850.455374408937,3559.980390362324,3555.1348375866387,3476.5513175627248,3630.554028153681,3544,8982
norm,2,3,1,0.975,7,6,2963.7161900068427,3913.785715874658,3925.509622242096,3989.45968580446,3840.997595591051,1402,4832
norm,2,3,1,0.975,8,6,2825.442451070221,3531.251107501331,3531.251107501331,3604.6794501664695,4096.389497480958,9875,1837
norm,2,3,1,0.975,9,6,2848.038454447522,3636.1138588949093,3632.905096028175,3654.879431159514,3578.6091136739715,6678,9741
norm,2,3,1,0.99,0,6,2902.3365682706485,3780.5067709997656,3789.6636907761244,3728.037616582226,3727.5919152204497,1465,8787
norm,2,3,1,0.99,1,6,2887.8918954598025,3751.311680768913,3750.1591883795404,3747.2037693697316,4011.0936658096266,9451,9635
norm,2,3,1,0.99,2,6,3343.4359870628323,4511.919441603759,4514.913507459429,4972.848246865147,4623.446659145258,1117,290
norm,2,3,1,0.99,3,6,3029.7936959133367,4032.7970039742813,4161.220400886405,4130.1743697279835,4138.022217272879,3460,4031
norm,2,3,1,0.99,4,6,2937.7337819411,3836.9729550729658,3848.0618679225167,3986.058515297233,3758.1304385543617,7106,3515
norm,2,3,1,0.99,5,6,3120.5727516048446,4192.864351927248,4196.680998599969,4464.649482476542,4089.274952976794,3820,4110
norm,2,3,1,0.99,6,6,3159.501621310224,4247.208040992462,4261.443170950463,4501.905859300243,4848.04211321182,2432,5513
norm,2,3,1,0.99,7,6,3007.3171559581206,3976.733684460134,3983.171284717925,4157.101825980127,3964.3495098798085,4225,296
norm,2,3,1,0.99,8,6,2846.3254925906,3583.946646384547,3571.1865980288535,3536.5322752240672,3505.855729844251,57,6855
norm,2,3,1,0.99,9,6,2861.6406037253846,3684.294187980145,3691.66241422508,3615.8570599770205,4212.569047946852,5025,4482
norm,2,5,2,0.95,0,8,3705.0884916756067,3976.6349325651495,3976.6349325651495,3956.6604843055466,4019.697901996221,764,8115
norm,2,5,2,0.95,1,8,3728.695853099876,4181.333920446641,4179.841927394323,4160.489060919101,4143.078463499569,1715,1185
norm,2,5,2,0.95,2,8,3770.3876874671296,4419.313741403066,4425.902880904534,4467.456389166274,4684.346921104621,9172,4064
norm,2,5,2,0.95,3,8,3712.6220709388094,4029.1318458440987,4029.1318458440987,3990.3735766276704,4013.6945523186046,7150,706
