distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,1,10,3,0.99,3,12,5941.57127057373,5894.222626204841,5872.337563247288,5894.957605041066,5890.236441753745,5876.355384487085,2505,8869
norm,1,10,3,0.99,4,12,6167.647748713503,6129.364309768559,6126.226847371938,6180.003330578534,6163.461267480792,6129.130556737237,8127,8064
norm,1,10,3,0.99,5,12,5638.764870235568,5489.82077317274,5448.491457519315,5473.612898970655,5471.724771118577,5447.840781055743,8858,6711
norm,1,10,3,0.99,6,12,5803.68771882304,5706.387134941688,5661.112276587343,5661.565469415202,5664.156979988996,5661.222276436502,4310,8696
norm,1,10,3,0.99,7,12,7993.131265896145,7991.892839367197,7990.962268226187,7995.366331410161,7993.955817559456,7991.331565896497,4694,3037
norm,1,10,3,0.99,8,12,6536.0777796044,6511.340380252785,6513.513918209884,6517.173863114357,6513.252534513611,6512.179054940559,4772,8319
norm,1,10,3,0.99,9,12,5726.779850554552,5632.550599082635,5607.480472031623,5639.598446307011,5642.144633102174,5606.895484101418,9957,4602
norm,2,3,1,0.95,0,6,2978.8048861367743,2973.265359221072,2966.9447616229654,3077.2519936120398,2963.482474908618,2962.155053335295,8048,1519
norm,2,3,1,0.95,1,6,2872.253035345098,2866.549212528393,2840.7104823944974,2842.5718699693607,2841.7196439646323,2840.235230340801,1170,6451
norm,2,3,1,0.95,2,6,2885.9206125205083,2873.8350778459017,2856.7052393061304,2871.6522865476068,2854.998310974656,2854.015906359915,831,4429
norm,2,3,1,0.95,3,6,3393.595215293092,3388.160437764354,3390.2528768743528,3398.0805053457016,3390.609526810717,3390.166192366921,9219,7340
norm,2,3,1,0.95,4,6,2999.994437344699,2995.255318844354,2984.79741140511,3016.495433240682,3000.0863513550917,2984.7523242433635,5131,9189
norm,2,3,1,0.95,5,6,3052.4998728403934,3038.963929347494,3039.4564856762363,3071.7695715816303,3041.2178786067298,3039.522265820084,6379,8988
norm,2,3,1,0.95,6,6,2943.005087559789,2934.418205525158,2918.9828846003898,2930.036330670133,2924.593569956743,2920.1489338755023,6927,7799
norm,2,3,1,0.95,7,6,2936.8635573778183,2921.489703696225,2912.0955306310557,2923.8209375023284,2914.75257363908,2912.7840802519804,2295,3569
norm,2,3,1,0.95,8,6,3003.8976205842337,2987.399489079986,2983.774486040406,3077.8679918977646,2987.1222958475146,2983.794243016067,2880,8922
norm,2,3,1,0.95,9,6,3333.0032599201945,3334.8788368636974,3329.836539907946,3336.3218140911376,3330.0425568580313,3330.238789842674,9185,4931
norm,2,3,1,0.975,0,6,3229.5345020705836,3224.3187614358094,3223.836933503108,3240.4280037914373,3226.8645534531697,3224.034585975138,5838,205
norm,2,3,1,0.975,1,6,4031.9221894614166,4035.562743276519,4031.3257310010426,4032.9404085867704,4031.3018114451816,4031.6835866732117,8582,347
norm,2,3,1,0.975,2,6,3516.917442276275,3519.7446080941727,3515.773587382649,3530.4468828377685,3515.5945938231275,3515.290785883083,2410,400
norm,2,3,1,0.975,3,6,3364.7518493437833,3363.0453302885367,3363.821935613272,3372.307122964071,3363.3213822092916,3363.2410865884776,4259,4519
norm,2,3,1,0.975,4,6,4012.2044940277488,4019.272254980497,4012.051613129572,4013.246266809451,4012.626972408431,4012.027534421775,9875,1837
norm,2,3,1,0.975,5,6,3858.7516355329444,3867.0375807042587,3858.4752015930726,3869.004566719432,3859.3089408890687,3858.492194638599,2058,8493
norm,2,3,1,0.975,6,6,3011.6417378811966,2994.7335204249675,2998.844083181433,3009.5585503540533,2998.131414827101,2998.0741580324448,69,9550
norm,2,3,1,0.975,7,6,3274.518699102416,3269.778603625468,3271.011653861392,3289.5231969344627,3271.565769767424,3270.408031136648,5059,6485
norm,2,3,1,0.975,8,6,3775.2625355705795,3784.093815368927,3774.9131104978956,3778.3888622647,3775.792506784137,3774.6911656180273,1117,290
norm,2,3,1,0.975,9,6,3196.263828639399,3182.3994198693667,3190.9475413702867,3196.8508558394733,3191.072567020143,3191.1515049507,4973,1093
norm,2,3,1,0.99,0,6,3837.555391262902,3843.4223880525024,3836.8823521149643,3839.402253980821,3837.098263953107,3836.8806777059963,1945,4097
norm,2,3,1,0.99,1,6,3302.9787722781675,3297.2215364714357,3298.827671714521,3308.1446163019395,3299.127147629742,3298.411485346481,5513,3284
norm,2,3,1,0.99,2,6,4733.622701919356,4736.40418670035,4733.44955315705,4734.414718395991,4733.38330256617,4733.403754044999,2432,5513
norm,2,3,1,0.99,3,6,4089.6174153946504,4094.69241801586,4089.3526932478567,4093.436077203135,4089.3716249818663,4089.206571478499,1216,400
norm,2,3,1,0.99,4,6,3330.4211586172123,3322.4953568878864,3327.2550974008795,3330.457642221611,3325.1994405666524,3326.0849919659036,7226,4013
norm,2,3,1,0.99,5,6,3485.8124514452547,3487.024999148551,3484.613781159783,3485.7144931300463,3482.956632803572,3483.030591544939,7870,8820
norm,2,3,1,0.99,6,6,3372.747253062575,3363.9474126505024,3369.7106936047385,3386.5614055827027,3369.866852562494,3369.383033236564,764,8115
norm,2,3,1,0.99,7,6,3468.9322263593713,3470.244124043243,3466.9748050275953,3471.7460918333086,3466.634432475453,3466.4677912178095,69,9550
norm,2,3,1,0.99,8,6,3693.2406088560883,3698.7957618158384,3692.9519483194586,3705.662745899761,3694.011014194655,3693.123537773667,2505,8869
norm,2,3,1,0.99,9,6,4406.526525167679,4411.931025399018,4406.526525167679,4409.270717254381,4406.951078469726,4406.526525167679,4059,9458
norm,2,5,2,0.95,0,8,3740.6309792037455,3721.236701572808,3687.735958827557,3707.411966445621,3689.7106218419576,3692.3814374318663,9912,5706
norm,2,5,2,0.95,1,8,3913.5619141218626,3892.3848005215373,3878.046220879183,3890.5832022801656,3878.2718320136332,3878.8858661832505,1945,4097
norm,2,5,2,0.95,2,8,4314.928494585788,4315.186380386987,4309.449041374994,4323.653017483282,4310.0900785767,4308.762566263836,4694,3037
norm,2,5,2,0.95,3,8,3835.6656123228036,3811.4990992687917,3794.267234876436,3815.792353532176,3789.470532630423,3790.370669390713,9818,220
norm,2,5,2,0.95,5,8,4085.3192045194246,4069.0122903273004,4065.9776512949065,4076.8370666461587,4066.0463735533403,4066.0083647510696,7226,4013
norm,2,5,2,0.95,4,8,3869.5499962660974,3849.259544202821,3834.9495093680657,3864.19768754738,3830.412813491123,3830.814794384568,5905,160
norm,2,5,2,0.95,6,8,3966.301033523906,3959.080456832015,3947.7658197346723,3952.3648370425026,3945.65456997213,3945.6520229179696,1170,6451
norm,2,5,2,0.95,7,8,3679.4057651387557,3655.3816201920445,3573.5231385621046,3573.5231385621046,3573.076978591653,3570.7295954134593,6678,9741
norm,2,5,2,0.95,8,8,4085.861617574903,4080.2803357902285,4068.6913620231244,4089.1544262753614,4081.2033001248938,4068.7125195528884,2505,8869
norm,2,5,2,0.95,9,8,3792.9588809941915,3767.551727321772,3731.9160026112236,3788.0311265138926,3736.6417195252243,3719.239757104607,8321,6196
norm,2,5,2,0.975,0,8,4538.929608855778,4539.71834624317,4536.293458463797,4552.978415635096,4538.475920341157,4536.276274401278,6379,8988
norm,2,5,2,0.975,1,8,3912.4246367816477,3885.0993895181555,3870.355693824916,3911.840469237944,3870.3783826578747,3872.0582806793227,3460,4031
norm,2,5,2,0.975,2,8,4702.52909511201,4706.886999094352,4700.927099362495,4709.73272664511,4701.6897037998515,4701.021485148352,4694,3037
norm,2,5,2,0.975,3,8,4145.184789148106,4134.08890489831,4136.642267638491,4196.560306239741,4154.701694305288,4133.911844643766,5423,5023
norm,2,5,2,0.975,4,8,4171.1613039675485,4165.085604133548,4156.2866861378625,4189.278283815318,4159.465900268721,4156.4445434281215,9185,4931
norm,2,5,2,0.975,5,8,4006.075982933247,3990.10405400129,3981.961300860449,4009.4525601673677,3981.1061731820823,3981.130760569079,4225,296
norm,2,5,2,0.975,6,8,4310.373087040747,4314.305562085564,4304.506565637682,4307.446951745954,4303.6658761518565,4303.296935964692,1170,6451
norm,2,5,2,0.975,7,8,5016.039228065856,5021.525825567522,5016.039228065856,5028.022343763124,5022.226052316759,5014.938994993713,1954,5637
norm,2,5,2,0.975,8,8,4245.363440972636,4242.424207451023,4238.565693367178,4260.304327052067,4237.568396773655,4238.7281932916485,4259,4519
norm,2,5,2,0.975,9,8,4029.287472288335,4016.2748368144976,4005.720397871099,4015.5890321968814,4002.7286577454156,4002.898902313107,1715,1185
norm,2,5,2,0.99,0,8,5112.897609318174,5118.738603407474,5112.799323710585,5120.153994550942,5113.664506989766,5113.163574676019,6379,8988
norm,2,5,2,0.99,1,8,4798.461286451469,4802.334774927034,4796.531961170653,4808.594725800641,4799.040992074776,4796.648554375976,854,1768
norm,2,5,2,0.99,2,8,6121.036963835057,6123.341490934819,6121.041593850315,6121.47522080269,6121.036331500549,6121.039981034286,5059,6485
norm,2,5,2,0.99,3,8,4783.335416069835,4788.12010342452,4782.099596537417,4789.559213556686,4783.271476455741,4782.220576501994,5781,1649
norm,2,5,2,0.99,4,8,4318.952895435842,4316.346153445621,4309.313597796362,4337.002732844712,4312.203104221319,4310.445279760914,9185,4931
norm,2,5,2,0.99,5,8,4602.06373183723,4601.309699219672,4598.131775191536,4614.079088297553,4602.720559604319,4597.799252984006,8499,6129
norm,2,5,2,0.99,6,8,4558.106850101081,4561.013317374529,4555.011679828308,4574.880389987208,4558.001730697313,4554.888870436485,5513,3284
norm,2,5,2,0.99,7,8,4900.251193202911,4904.2831742169365,4899.14748120367,4904.060734719344,4899.93476243363,4899.196570384231,8909,6082
