distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,2,2,1,0.975,5,4.5,2434.156673554415,3743.0124431745253,3745.3819519846575,4513.832365259307,3393.980850430584,5997.7,6856.1
norm,2,2,1,0.99,5,4.5,2684.2314423462017,4006.238945520603,4009.805648115226,5048.82905563608,3850.6814498454587,6038.8,5255.9
norm,2,3,1,0.95,6,4.5,2351.8337300585786,3623.306884387845,3636.7207038788047,3618.7418433492007,3552.5845962137146,5147.4,4074.9
norm,2,3,1,0.975,6,4.5,2497.232669008876,3798.228981356445,3821.840569957317,3862.441776563473,3804.2660260612524,3248.9,4987.5
norm,2,3,1,0.99,6,4.5,2625.8201122188075,3935.677129581346,3944.9322084535443,4196.184813303135,4032.680126726461,4873.7,4950.3
norm,2,5,2,0.95,8,4.5,2811.085320444673,4005.6315198433936,4006.7812524115734,3997.7590739740344,4209.878443870586,5174.1,5870.6
norm,2,5,2,0.975,8,4.5,3104.499778838739,4367.698207653923,4376.377599453934,4460.439050820059,4612.864407605171,5928.2,5402.0
norm,2,5,2,0.99,8,4.5,3407.829010657041,4690.870374414747,4695.391014492743,4853.353379520966,5250.666521518686,6613.1,5310.1
norm,2,8,3,0.95,11,4.5,3334.8118708417605,4433.565355177301,4456.287023608268,4505.9432196509315,5101.796219183671,4953.0,4434.2
norm,2,8,3,0.975,11,4.5,3584.079332309108,4776.822085433148,4788.710090226377,4890.706392147218,5461.030595813173,4716.9,4938.4
norm,2,8,3,0.99,11,4.5,3994.8530685922947,5242.691147780601,5259.060616482736,5457.670201104811,5984.959146907386,4465.7,4772.0
norm,2,10,3,0.95,13,4.5,3538.7353294714303,4610.884230508314,4618.522288917644,4759.614171180225,5426.102499886716,3991.3,6015.3
norm,2,10,3,0.975,13,4.5,3627.7539118995674,4778.3707275398965,4810.060128521061,4938.420490570065,5823.976899264394,5538.0,3552.6
norm,2,10,3,0.99,13,4.5,4109.033308107648,5329.4540798358485,5361.133388383264,5529.6666680909375,6959.754788924145,4266.9,4576.2
