distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
geom,2,5,2,0.99,8,4.5,1213.3547540000015,1208.4619130890017,1208.6663974595772,1210.7259934919814,1208.7693970800017,1208.6713715300016,4715.8,6499.1
geom,2,10,3,0.95,13,4.5,1256.95879,1184.3612830079999,1163.6335034613678,1172.543125243525,1169.5584624214284,1163.7412658999997,4514.3,2720.8
geom,2,10,3,0.975,13,4.5,1324.5378299999998,1279.0958904999995,1268.2151829518227,1272.896763408478,1270.6667996999995,1268.2362557999995,4534.8,6278.5
geom,2,10,3,0.99,13,4.5,1479.056394000001,1460.4528092840012,1457.8571096777328,1461.0553417616723,1459.5513379771442,1457.8808452000012,4382.4,4986.8
norm,1,3,1,0.95,5,4.5,2954.34398379242,2912.530111018199,2927.1640094189465,2938.756198953316,2928.522879620882,2927.5485261221925,5895.2,5621.8
norm,1,3,1,0.975,5,4.5,3323.9324083098168,3301.1704551823764,3314.7318788552366,3320.315452353275,3315.279280698499,3314.492241440039,6128.1,5724.8
norm,1,3,1,0.99,5,4.5,4057.0017927968934,4054.6179405087846,4056.290850266134,4061.425120406538,4057.8198982370704,4056.152936498345,5743.2,4574.3
norm,1,5,2,0.95,7,4.5,3867.19617337885,3819.249292499121,3799.087373478857,3815.1686032832595,3810.672788604109,3799.658980423514,3781.3,6543.5
norm,1,5,2,0.975,7,4.5,4299.433825219112,4283.501266183533,4286.195052269571,4298.606185953116,4290.194720917306,4286.547528775171,5540.8,6190.9
norm,1,5,2,0.99,7,4.5,4878.839136734204,4874.224183872137,4874.998428783043,4878.835554278796,4876.857056911063,4875.147484458756,4992.8,3855.0
norm,1,10,3,0.95,12,4.5,5606.741221595392,5456.33306976947,5374.092120504451,5406.60837104664,5398.167080041897,5375.101546050776,4372.0,4748.9
norm,1,10,3,0.975,12,4.5,5797.114259526911,5683.222305164639,5633.288458594054,5649.299901175042,5649.9420133589565,5636.621687307679,5557.8,5115.5
norm,1,10,3,0.99,12,4.5,6192.838266518004,6124.688789656767,6103.981318007157,6125.172065607254,6118.270144242703,6103.452536560022,6081.0,6401.4
norm,2,3,1,0.95,6,4.5,3039.9837584922598,3031.4215570716633,3022.3556698459092,3054.5868734458386,3024.8625182921814,3021.78130194526,5206.5,6313.7
norm,2,3,1,0.975,6,4.5,3527.1768913906344,3525.998663806852,3524.1001391133723,3533.269471710162,3524.558051262707,3523.9094633918103,4424.0,3321.9
norm,2,3,1,0.99,6,4.5,3772.1454504363255,3772.617920918519,3770.6545120914525,3776.4810761803697,3770.459979020344,3770.2518959482536,3359.9,6211.9
norm,2,5,2,0.95,8,4.5,3928.4183498251477,3912.0872956416306,3889.2321939552266,3908.1548822328646,3890.0578820321075,3887.1557593394223,5817.4,4849.0
norm,2,5,2,0.975,8,4.5,4307.736864516591,4301.5513729807435,4294.729839122982,4318.120541649861,4297.200675754266,4294.070621543307,4246.4,4409.8
norm,2,5,2,0.99,8,4.5,4860.640596879396,4863.8043286106285,4858.307114936552,4868.898842305214,4859.9272160259525,4858.445400946369,6075.2,5332.3
norm,2,10,3,0.95,13,4.5,5601.130241968696,5396.156191437984,5262.9805744386595,5305.233250075453,5276.6114652135675,5265.470422969766,5952.9,3855.8
norm,2,10,3,0.975,13,4.5,5741.941429944441,5623.6203419107915,5551.191531721286,5575.7592709815,5563.227146830182,5552.41501333421,5927.9,6237.0
norm,2,10,3,0.99,13,4.5,6662.66888813324,6621.527838575208,6606.107683326742,6626.361268220416,6614.958449126442,6606.98553150885,3517.1,5466.8
