distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,0.5,3,2,0.99,9,4.5,4122.9917285816355,4125.228602647874,5742.1001943570955,4123.0256247286825,7906,4383
norm,0.5,5,1,0.95,0,6.5,4058.714529438924,3986.784391742926,7370.751040019479,4027.2290029549586,4523,1039
norm,0.5,5,1,0.95,1,6.5,3906.6794226427796,3814.3253519277937,7124.925581602493,3864.575943035662,9360,2484
norm,0.5,5,1,0.95,2,6.5,3756.5278555000973,3618.9022483371714,6832.415751181627,3670.9338124550104,7724,1440
norm,0.5,5,1,0.95,3,6.5,3869.1457357913396,3768.862728078033,7065.8123840363005,3865.472159731229,4878,2216
norm,0.5,5,1,0.95,4,6.5,3997.197013251976,3920.3983868533437,7293.34843006403,3988.599734037348,4872,469
norm,0.5,5,1,0.95,5,6.5,3962.003763306865,3870.0727541244105,7189.547951538758,3977.722903304861,3652,6279
norm,0.5,5,1,0.95,6,6.5,3939.7723134895637,3843.2837079184847,7162.5767078722565,3976.114732814142,8345,7262
norm,0.5,5,1,0.95,7,6.5,3859.5805247469348,3766.6905911615872,7058.3617850183755,3839.0601132941283,9212,8422
norm,0.5,5,1,0.95,8,6.5,3840.713968839017,3738.7454365508606,7006.615684575392,3795.12444485328,2865,9363
norm,0.5,5,1,0.95,9,6.5,3810.888292177285,3713.9963439294975,6966.953201672336,3782.820835613771,6355,9577
norm,0.5,5,1,0.975,0,6.5,4612.627190191732,4584.538667800441,8095.13386848752,4634.767485872167,8738,1149
norm,0.5,5,1,0.975,1,6.5,4340.000964301078,4307.374431091498,7718.601519975463,4363.583709025308,8105,2456
norm,0.5,5,1,0.975,2,6.5,4544.44046555143,4515.806498393974,8005.793352879867,4547.73648034528,9101,5586
norm,0.5,5,1,0.975,3,6.5,4470.664956288932,4443.415158645634,7912.599755419798,4489.325400065293,9585,3405
norm,0.5,5,1,0.975,4,6.5,4438.77859362357,4405.255480173456,7863.869689385431,4437.487538621203,2769,9934
norm,0.5,5,1,0.975,5,6.5,4627.239757425006,4600.588866245126,8046.311393261901,4626.569312304283,6904,1758
norm,0.5,5,1,0.975,6,6.5,4411.8987633719335,4378.361542648849,7805.488018200972,4434.297158647661,1836,9978
norm,0.5,5,1,0.975,7,6.5,4403.501784981909,4363.889978502725,7831.765862834228,4422.349363199304,6145,1831
norm,0.5,5,1,0.975,8,6.5,4427.044467558275,4389.200632435085,7838.060864966799,4430.3429403022765,6858,5166
norm,0.5,5,1,0.975,9,6.5,4398.699981135404,4361.816652611963,7838.867653068321,4418.386623212364,2721,8442
norm,0.5,5,1,0.99,0,6.5,5178.177340284003,5170.863932738927,8727.722793325467,5188.153134255114,8440,5600
norm,0.5,5,1,0.99,1,6.5,4852.6788498047745,4838.262123526782,8348.967967205135,4861.245755356804,2334,1412
norm,0.5,5,1,0.99,2,6.5,4927.246894154925,4915.126873272408,8401.87642155965,4944.801688503757,3995,9385
norm,0.5,5,1,0.99,3,6.5,5050.296899655146,5038.989871687775,8539.420701141695,5052.799346879668,9196,4922
