distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,3,2,0.99,2,4.5,2163.2759500000006,2293.9522479797984,2270.1324800000007,2408.8476404545436,8536,2790
binom,0.5,3,2,0.99,3,4.5,1997.1894499999996,2131.1163040572387,2103.1399329,2224.6116272,5155,8996
binom,0.5,3,2,0.99,4,4.5,2114.818,2211.37751181818,2184.88344525,2311.78863115,5769,5042
binom,0.5,3,2,0.99,5,4.5,1993.6169499999996,2127.511618350167,2101.8530919,2207.90844135,6034,2901
binom,0.5,3,2,0.99,6,4.5,2076.567059999999,2210.1721340909075,2181.596974999999,2345.650689999999,9073,1963
binom,0.5,3,2,0.99,7,4.5,2029.4229799999994,2129.080732222221,2100.4401149999994,2222.443494999999,7165,6849
binom,0.5,3,2,0.99,8,4.5,2087.7899500000003,2219.2919499999994,2190.7930750000005,2317.396450000001,9370,3938
binom,0.5,3,2,0.99,9,4.5,2250.5794000000005,2382.927581818181,2354.1780249999993,2502.3853999999997,4347,1808
binom,0.5,5,1,0.95,0,6.5,1933.6975,1460.785315909091,1496.0626459999999,1522.2403835000002,1854,7481
binom,0.5,5,1,0.95,1,6.5,2053.685,1513.906287878788,1553.78723,1595.5501149999998,1357,4727
binom,0.5,5,1,0.95,2,6.5,2033.588,1449.8817777777774,1492.4965,1515.3902,47,2718
binom,0.5,5,1,0.95,3,6.5,1981.172,1455.6852272727274,1494.7481,1530.7385,1122,8381
binom,0.5,5,1,0.95,4,6.5,2201.9215,1583.0260606060606,1626.1595,1660.0456000000001,46,6177
binom,0.5,5,1,0.95,5,6.5,2128.162,1524.9758030303028,1564.9345,1604.3886,843,7265
binom,0.5,5,1,0.95,6,6.5,2041.1550876623382,1453.1621814574314,1494.3520097402597,1522.213666883117,2171,944
binom,0.5,5,1,0.95,7,6.5,2057.738,1511.1925858585855,1554.832,1588.201,1497,8820
binom,0.5,5,1,0.95,8,6.5,2028.2405,1453.4528484848481,1495.5123,1518.7622999999999,7536,4153
binom,0.5,5,1,0.95,9,6.5,2129.066,1516.54589,1560.8349430000003,1595.346095,9879,8119
binom,0.5,5,1,0.975,0,6.5,2094.8001874999986,1585.3527727272708,1630.9110374999982,1660.4546474999981,2736,4430
binom,0.5,5,1,0.975,1,6.5,2277.0915,1652.6184545454541,1698.0777,1749.2888799999998,7812,9561
