distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,3,2,0.975,4,4.5,894.427,860.9578636363638,860.8765,899.349,3998,894
geom,0.5,3,2,0.975,5,4.5,857.398,859.4291468013466,859.9027812499999,896.6791139999998,830,2559
geom,0.5,3,2,0.975,6,4.5,959.3882608695619,939.765691919192,939.675,980.045,6852,4028
geom,0.5,3,2,0.975,7,4.5,858.99,860.8562828282829,860.773,899.0775,6212,8689
geom,0.5,3,2,0.975,8,4.5,814.117,784.8740858585859,785.1646699999999,818.05508,1384,6466
geom,0.5,3,2,0.975,9,4.5,782.193,785.5547575757577,785.65844,820.61965,1937,784
geom,0.5,3,2,0.99,0,4.5,1025.5154499999999,1026.051024074074,1026.30175,1067.3120099999999,4036,7218
geom,0.5,3,2,0.99,1,4.5,1025.21595,1025.422343939394,1025.3351999999998,1066.7474500000003,914,5373
geom,0.5,3,2,0.99,2,4.5,859.8625,862.2535606060607,862.177,900.4205,2279,6091
geom,0.5,3,2,0.99,3,4.5,1022.887,1023.8444814814814,1024.08835,1065.13104,711,1247
geom,0.5,3,2,0.99,4,4.5,1107.28,1107.3591623232323,1108.30568925,1149.7119838499998,6196,3120
geom,0.5,3,2,0.99,5,4.5,943.056,944.4098939393939,944.2666499999999,984.6616750000001,1629,8689
geom,0.5,3,2,0.99,6,4.5,1108.24045,1108.6050402356898,1108.8868525,1150.4904601500002,1384,6466
geom,0.5,3,2,0.99,7,4.5,941.2329500000001,942.0021183501683,942.8478499999999,982.2626750000001,1937,784
geom,0.5,3,2,0.99,8,4.5,1025.5154499999999,1026.051024074074,1026.30175,1067.3120099999999,4036,7218
geom,0.5,3,2,0.99,9,4.5,1025.21595,1025.422343939394,1025.3351999999998,1066.7474500000003,914,5373
geom,0.5,5,1,0.95,0,6.5,889.534,618.6728030303029,616.2393400000001,633.8535,2279,6091
geom,0.5,5,1,0.95,1,6.5,886.027,612.2057992424243,612.0503074999999,640.33934775,711,1247
geom,0.5,5,1,0.95,2,6.5,887.2475,613.2686818181819,612.2185800000001,637.7316,6196,3120
geom,0.5,5,1,0.95,3,6.5,971.653,674.7203363636363,675.32444,704.81528,1629,8689
geom,0.5,5,1,0.95,4,6.5,829.1702499999998,613.6944918181819,613.21803275,630.6184879999998,1384,6466
geom,0.5,5,1,0.95,5,6.5,913.3382499999998,674.2114166666668,675.2861599999999,703.89875,1937,784
