distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
binom,3.0,2,1,0.975,6.0,4.5,1571.078885,1586.0695811311107,2549.3969915151524,1571.0718975,4605.0,3544.0
binom,3.0,2,1,0.99,6.0,4.5,1792.5404339999998,1799.1577523511103,2798.035984121213,1792.5391579999996,3992.9,3764.9
binom,3.0,3,1,0.95,7.0,4.5,1623.6609999999998,1630.37152458,2514.6438242424238,1621.8372319999999,4580.3,3067.9
binom,3.0,3,1,0.975,7.0,4.5,1814.7779000000003,1822.0003060288886,2764.638836363636,1815.0880065000001,4509.7,4085.6
binom,3.0,3,1,0.99,7.0,4.5,2084.9891039999998,2089.8554474466655,3076.0283355151505,2085.09805676,4307.0,3412.4
binom,3.0,3,2,0.95,7.0,4.5,1623.5821999999998,1653.3639633433334,2632.54701090909,1623.5624592,3953.8,3775.5
binom,3.0,3,2,0.975,7.0,4.5,1836.9846000000002,1851.431124066667,2926.0314521212117,1836.9820280000004,4378.3,3361.7
binom,3.0,3,2,0.99,7.0,4.5,2084.8371199999997,2091.4142259999994,3212.914301939393,2084.8371199999997,4605.0,3544.0
binom,3.0,5,1,0.95,9.0,4.5,2013.0766999999996,1983.4186022199992,3785.308301363633,2049.700925000001,3992.9,3764.9
binom,3.0,5,1,0.975,9.0,4.5,2215.2380249999997,2202.8584984155545,4099.373073484845,2243.1049524999994,4580.3,3067.9
binom,3.0,5,1,0.99,9.0,4.5,2519.06443,2517.0770902399995,4464.67063133333,2541.398531,4509.7,4085.6
binom,3.0,5,2,0.95,9.0,4.5,2012.7392499999999,2014.4764479333328,2931.9030196969666,2003.5563386,4307.0,3412.4
binom,3.0,5,2,0.975,9.0,4.5,2214.905399999999,2218.6173370433316,3237.8278863636324,2213.4232889999994,3953.8,3775.5
binom,3.0,5,2,0.99,9.0,4.5,2520.9584299999997,2525.2767470499994,3605.0798636363606,2521.64753012,4378.3,3361.7
binom,3.0,5,3,0.95,9.0,4.5,2003.74905,2028.3931470088883,3033.9650166666634,2002.1145499999998,4605.0,3544.0
binom,3.0,5,3,0.975,9.0,4.5,2221.6126249999998,2235.385582177777,3376.367601515148,2221.5578634999993,3992.9,3764.9
binom,3.0,5,3,0.99,9.0,4.5,2526.72546,2532.950963804444,3750.890920303027,2526.7548383000003,4580.3,3067.9
binom,3.0,10,1,0.95,14.0,4.5,2817.4491000000003,2646.3528537466664,9237.51061454547,2688.8615099999997,4509.7,4085.6
binom,3.0,10,1,0.975,14.0,4.5,3005.5447249999997,2938.2510956688884,9653.097312272741,2974.5988199999997,4307.0,3412.4
binom,3.0,10,1,0.99,14.0,4.5,3443.645995,3424.622291511111,10260.476260303043,3448.6389209999993,3953.8,3775.5
binom,3.0,10,2,0.95,14.0,4.5,2812.1073,2699.4485457833334,6937.820354242433,2779.06367,4378.3,3361.7
binom,3.0,10,2,0.975,14.0,4.5,3025.801225,2982.705958763333,7381.656638181827,3039.63993,4605.0,3544.0
binom,3.0,10,2,0.99,14.0,4.5,3430.6483199999993,3419.533777869999,7918.723776969707,3462.2142959999996,3992.9,3764.9
binom,3.0,10,3,0.95,14.0,4.5,2813.2213,2745.2197971600003,5252.448716666667,2818.2488000000003,4580.3,3067.9
binom,3.0,10,3,0.975,14.0,4.5,3023.0750999999996,3000.301397133332,5681.024155000001,3086.2064374999995,4509.7,4085.6
binom,3.0,10,3,0.99,14.0,4.5,3430.3879149999993,3426.244865862221,6218.21247009091,3469.873051999999,4307.0,3412.4
