distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
norm,0.5,10,1,0.975,1,11.5,6124.253885042588,3500.4007735636737,3672.4785181953266,3680.9590553043017,7272,2920
norm,0.5,10,1,0.975,2,11.5,6348.104750717557,3686.7883161518084,3847.0030491016,3890.6014991019856,4490,646
norm,0.5,10,1,0.975,3,11.5,6093.159111514975,3508.256984552678,3681.3347647216997,3691.998798535995,1492,3472
norm,0.5,10,1,0.975,4,11.5,6128.938051286897,3523.162263988583,3689.393113503897,3689.723226444697,102,3226
norm,0.5,10,1,0.975,5,11.5,6261.250953999065,3598.443026270824,3771.8040279862826,3805.212241400501,6972,2102
norm,0.5,10,1,0.975,6,11.5,6588.365305728329,3737.3011793557416,3927.142362364326,3905.902096528626,947,1211
norm,0.5,10,1,0.975,7,11.5,6040.358646826728,3461.4331037180823,3624.6293285140378,3644.9539798990936,5496,2575
norm,0.5,10,1,0.975,8,11.5,6287.685921924457,3607.1793956596816,3773.8779146162633,3823.908367444657,9538,6241
norm,0.5,10,1,0.975,9,11.5,6239.232368825007,3553.2613086192955,3729.5872439484747,3765.929084116156,1359,2814
norm,0.5,10,1,0.99,0,11.5,6018.840997884303,3626.342512690138,3816.696360649644,3848.3919146728263,8449,7784
norm,0.5,10,1,0.99,1,11.5,6540.888103257936,3841.721865486883,4027.62987730575,4090.762892759071,8750,9682
norm,0.5,10,1,0.99,2,11.5,6563.957943761184,3997.3117268425162,4197.8187106941405,4293.045394794027,8878,6481
norm,0.5,10,1,0.99,3,11.5,6655.474469987331,3951.6423162862043,4152.86056917675,4179.965121215016,564,8355
norm,0.5,10,1,0.99,4,11.5,6401.543810112341,3789.0923076553577,3980.548578868741,4029.5678281575583,1899,317
norm,0.5,10,1,0.99,5,11.5,6420.7365301679565,3837.097483087139,4045.8038120378837,4105.6432012246205,5208,5881
norm,0.5,10,1,0.99,6,11.5,6645.5679968151635,3924.703471622463,4147.140486423685,4193.6803232606635,7968,9680
norm,0.5,10,1,0.99,7,11.5,6829.824650364172,4098.9751137139465,4284.429419584235,4338.608665529639,3303,236
norm,0.5,10,1,0.99,8,11.5,6553.248545099543,3918.5409651121745,4118.072802614816,4163.426094697024,4727,8994
norm,0.5,10,1,0.99,9,11.5,6989.889479461562,4129.251698156209,4321.292825867518,4427.550681036062,4287,9799
norm,0.5,10,2,0.95,0,11.5,6452.837589824254,4149.275289673025,4298.37022657311,4384.335246465418,3476,8170
norm,0.5,10,2,0.95,1,11.5,5989.043959856873,3878.6377429971226,4002.4391841251654,4002.4120175923504,6127,5464
norm,0.5,10,2,0.95,2,11.5,5993.424091835952,3945.7801806194384,4099.497378599251,4149.796989341836,1171,6583
norm,0.5,10,2,0.95,3,11.5,5929.219340747743,3951.9121912880355,4099.289398065636,4147.590756763143,3596,7973
norm,0.5,10,2,0.95,4,11.5,6111.353039339567,3936.860114051164,4087.727982240031,4090.0467348865213,7746,302
norm,0.5,10,2,0.95,5,11.5,5901.657103543567,3906.084987983009,4058.7494981177488,4068.829199915947,7694,3369
