distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,2.0,2,1,0.95,5.0,4.5,2747.4033029675097,2778.838444104058,4332.592685160843,2747.3029252464266,6673.5,4321.1
norm,2.0,2,1,0.975,5.0,4.5,3087.3611050468544,3107.6442709024514,4766.94175651538,3087.29543715674,6240.3,5503.7
norm,2.0,2,1,0.99,5.0,4.5,3653.8389869903003,3661.74054078157,5394.916983688172,3653.8275549784566,4755.3,5731.8
norm,2.0,3,1,0.95,6.0,4.5,3146.362557445845,3135.1572655060713,4648.007681642245,3138.262936113076,4281.2,4439.0
norm,2.0,3,1,0.975,6.0,4.5,3534.6618616439046,3537.5290023054936,5151.700350121659,3533.05800247469,4752.2,3788.6
norm,2.0,3,1,0.99,6.0,4.5,4193.519671552521,4199.97928985935,5898.075014726545,4193.676583899904,5056.1,4960.3
norm,2.0,3,2,0.95,6.0,4.5,3212.373806766073,3250.5342553183373,4986.98396863715,3212.4023841887442,5134.8,5138.9
norm,2.0,3,2,0.975,6.0,4.5,3555.367186544144,3578.1941908660747,5444.242245851937,3555.367666935728,4249.1,6094.0
norm,2.0,3,2,0.99,6.0,4.5,4066.275811037061,4076.9190827407488,6035.882911523871,4066.281013346802,5802.8,4476.6
norm,2.0,5,1,0.95,8.0,4.5,3991.783949492048,3921.430070596457,7281.03611836401,4012.6116431032146,5356.8,5335.2
norm,2.0,5,1,0.975,8.0,4.5,4443.093770039004,4415.0217733721765,7941.458297584302,4473.785754267855,3069.5,6252.8
norm,2.0,5,1,0.99,8.0,4.5,5150.153580606429,5142.94545981184,8769.882880119902,5175.994337177906,5988.3,3680.7
norm,2.0,5,2,0.95,8.0,4.5,3957.5497819833463,3940.325427537877,5543.400954301056,3933.281916578197,6872.7,6343.3
norm,2.0,5,2,0.975,8.0,4.5,4419.300357705819,4418.790656057414,6219.956058148169,4415.112412355393,5269.2,5490.2
norm,2.0,5,2,0.99,8.0,4.5,5045.742531151966,5049.444195029586,6950.084637480884,5045.944169534394,4238.7,4844.1
norm,2.0,5,3,0.95,8.0,4.5,3982.041926525654,4011.665198342534,5814.882926735485,3975.778004078694,4755.3,3920.8
norm,2.0,5,3,0.975,8.0,4.5,4397.269475382536,4415.456770805069,6453.632279460419,4397.464558517456,4207.4,4387.1
norm,2.0,5,3,0.99,8.0,4.5,5050.474220888713,5058.970706256081,7214.772887634298,5050.789465356703,5955.4,4922.0
norm,2.0,10,1,0.95,13.0,4.5,5544.5601964588095,5199.623834395267,17935.436621335622,5281.269965401248,3440.9,6351.6
norm,2.0,10,1,0.975,13.0,4.5,5988.891606697358,5844.4541298106315,18842.756524073477,5913.4288373601685,6012.6,5178.5
norm,2.0,10,1,0.99,13.0,4.5,6750.258308443315,6704.956582601402,19849.098774003098,6748.35755576183,5758.4,4267.7
norm,2.0,10,2,0.95,13.0,4.5,5582.514410706803,5349.187714934642,13522.60704780398,5402.297965410244,3356.2,6104.8
norm,2.0,10,2,0.975,13.0,4.5,6061.537101842008,5984.497324571161,14505.121805999272,6090.296363022449,5193.1,5375.3
norm,2.0,10,2,0.99,13.0,4.5,6678.064224904869,6644.942781303727,15278.592407816137,6718.5310268145895,6474.6,4863.3
norm,2.0,10,3,0.95,13.0,4.5,5583.913030183897,5436.470479345395,10212.469133992869,5471.016363646877,5669.3,5311.2
norm,2.0,10,3,0.975,13.0,4.5,5978.115399789426,5911.900799773509,10980.179394715378,5989.475699161225,4423.6,4925.2
norm,2.0,10,3,0.99,13.0,4.5,6761.120936307942,6745.834924003024,12031.421582070283,6784.980737017657,4756.5,4861.2
norm,3.0,2,1,0.95,6.0,4.5,2740.952040078627,2798.231363649208,4564.243856585779,2740.8351578595525,4249.8,3985.4
norm,3.0,2,1,0.975,6.0,4.5,3153.230357243426,3183.440857609063,5111.081569463395,3153.2242443244327,5815.5,5191.7
norm,3.0,2,1,0.99,6.0,4.5,3676.4575765998184,3688.004083317234,5699.409253888837,3676.465847476884,3873.4,5686.0
norm,3.0,3,1,0.95,7.0,4.5,3191.6563123021106,3205.95690395368,4937.510404914123,3185.6183634381478,5800.6,5619.3
norm,3.0,3,1,0.975,7.0,4.5,3605.754334352402,3619.0672007852017,5503.588337130032,3604.6723403863425,5853.0,3432.0
norm,3.0,3,1,0.99,7.0,4.5,4126.80458298867,4137.019956346829,6105.744247236367,4126.976310899585,4195.3,5723.3
norm,3.0,3,2,0.95,7.0,4.5,3219.4070124598807,3281.2133092105846,5223.800044629762,3219.4018616520525,3516.8,7208.7
norm,3.0,3,2,0.975,7.0,4.5,3692.000917917562,3721.1031364993346,5870.4739165231185,3692.0091768746047,6333.7,4335.7
norm,3.0,3,2,0.99,7.0,4.5,4218.103915305628,4229.7507538409245,6485.034624573264,4218.099948465836,6639.6,5084.0
norm,3.0,5,1,0.95,9.0,4.5,4016.476635719869,3948.587739051583,7546.800195645798,4066.4779484112187,4997.9,5861.2
norm,3.0,5,1,0.975,9.0,4.5,4442.694395545554,4419.418538971573,8209.695744109209,4491.188011310585,4347.9,4158.8
norm,3.0,5,1,0.99,9.0,4.5,5061.422816894705,5057.3056566523555,8933.681644970678,5085.4145320877415,4240.9,3463.0
norm,3.0,5,2,0.95,9.0,4.5,4018.0847364841284,4021.549326852483,5852.877579653483,3995.8492404809595,4577.0,5900.6
norm,3.0,5,2,0.975,9.0,4.5,4431.585477506594,4439.195361186917,6471.693194628331,4428.394709173184,5137.0,5113.4
norm,3.0,5,2,0.99,9.0,4.5,5128.723124557676,5136.486953876995,7316.1217776922595,5129.417360410784,4793.5,5467.4
norm,3.0,5,3,0.95,9.0,4.5,4012.6839577393957,4061.0724590506447,6080.877891430004,4009.309718844731,5858.9,4773.7
