distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
geom,3.0,5,2,0.99,9.0,4.5,1203.2919699999998,1201.5923595133331,1558.716742121212,1201.3074149999998,2240.7,4623.8
geom,3.0,5,3,0.95,9.0,4.5,908.9567499999996,909.4418283466663,1212.8914681818176,900.4931659999995,2403.6,5157.9
geom,3.0,5,3,0.975,9.0,4.5,1027.5740749999998,1027.8113378955552,1396.2576068181816,1024.9841255999995,2207.6,4632.6
geom,3.0,5,3,0.99,9.0,4.5,1210.6952599999997,1211.26428016,1616.712273333333,1210.0701749999998,2691.1,5079.7
geom,3.0,10,1,0.95,14.0,4.5,1244.2046999999998,1122.8348937822218,3725.205677424241,1134.9453599999997,2240.7,4623.8
geom,3.0,10,1,0.975,14.0,4.5,1339.8554749999998,1287.6084913155555,3941.276483939392,1295.8701319999998,2403.6,5157.9
geom,3.0,10,1,0.99,14.0,4.5,1542.00196,1523.9044258977779,4270.977249181817,1529.5975801333334,2207.6,4632.6
geom,3.0,10,2,0.95,14.0,4.5,1243.0690999999997,1142.1529046399996,2845.4410981818173,1140.1117839999995,2691.1,5079.7
geom,3.0,10,2,0.975,14.0,4.5,1339.4486499999998,1300.8477288499998,3088.3203249999997,1307.8286824999998,2240.7,4623.8
geom,3.0,10,2,0.99,14.0,4.5,1556.10001,1543.9932015266666,3397.228153272727,1547.7254870000002,2403.6,5157.9
geom,3.0,10,3,0.95,14.0,4.5,1245.50135,1175.5877067733331,2184.8152487878783,1159.94736,2207.6,4632.6
geom,3.0,10,3,0.975,14.0,4.5,1334.7108375,1306.0322186999997,2403.9389290909085,1301.1271109999998,2691.1,5079.7
geom,3.0,10,3,0.99,14.0,4.5,1536.14008,1526.9421981111113,2674.1748586363633,1528.0855199799998,2240.7,4623.8
