distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
binom,0.5,10,2,0.95,0,11.5,2682.194,2569.8994632,7639.507545454537,2566.07,5002,1947
binom,0.5,10,2,0.95,1,11.5,2757.46675,2658.0980272666666,7787.137962121196,2646.837664999999,7660,3664
binom,0.5,10,2,0.95,2,11.5,2737.41175,2628.4586037500003,7612.987371212113,2621.70725,2814,56
binom,0.5,10,2,0.95,3,11.5,2768.1162500000005,2657.5307325,7744.868781060601,2691.029764999999,5249,6708
binom,0.5,10,2,0.95,4,11.5,2770.87825,2630.889420066667,7689.8743106060565,2647.22125,1148,5979
binom,0.5,10,2,0.95,5,11.5,2673.380999999999,2559.66746095,9050.666454545455,2618.3372799999984,8373,3157
binom,0.5,10,2,0.95,6,11.5,2819.1625,2737.8036873500005,7796.899196969686,2752.995559999999,81,3501
binom,0.5,10,2,0.95,7,11.5,2682.194,2569.8994632,7639.507545454537,2566.07,5002,1947
binom,0.5,10,2,0.95,8,11.5,2757.46675,2658.0980272666666,7787.137962121196,2646.837664999999,7660,3664
binom,0.5,10,2,0.95,9,11.5,2737.41175,2628.4586037500003,7612.987371212113,2621.70725,2814,56
binom,0.5,10,2,0.975,0,11.5,3082.4990624999996,3039.1553499999995,8243.377491287874,3070.5192099999986,5249,6708
binom,0.5,10,2,0.975,1,11.5,3035.803249999999,2979.979951866666,8179.6104810605975,3012.067649999999,1148,5979
binom,0.5,10,2,0.975,2,11.5,2898.394437499999,2855.265977233332,9475.895884090907,2913.1152999999977,8373,3157
binom,0.5,10,2,0.975,3,11.5,3038.811562499999,3003.159797699998,8173.795312499988,3022.111339999998,81,3501
binom,0.5,10,2,0.975,4,11.5,2846.1883749999993,2796.3999877999986,7904.363451515146,2813.678999999999,5002,1947
binom,0.5,10,2,0.975,5,11.5,2948.602687500001,2899.8341194333343,8034.464293560597,2908.9630075,7660,3664
binom,0.5,10,2,0.975,6,11.5,3019.714875000001,2984.40849375,8206.399102272717,3003.2386125000007,2814,56
binom,0.5,10,2,0.975,7,11.5,3082.4990624999996,3039.1553499999995,8243.377491287874,3070.5192099999986,5249,6708
binom,0.5,10,2,0.975,8,11.5,3035.803249999999,2979.979951866666,8179.6104810605975,3012.067649999999,1148,5979
binom,0.5,10,2,0.975,9,11.5,2898.394437499999,2855.265977233332,9475.895884090907,2913.1152999999977,8373,3157
binom,0.5,10,2,0.99,0,11.5,3606.0350000000003,3601.2734980000005,8845.83354939393,3613.8701050000004,81,3501
binom,0.5,10,2,0.99,1,11.5,3094.7817499999983,3073.6390635999983,8252.813597575752,3093.076334999999,5002,1947
binom,0.5,10,2,0.99,2,11.5,3571.417499999998,3564.5568879333314,8829.026846212111,3571.359839999998,7660,3664
binom,0.5,10,2,0.99,3,11.5,3303.669249999999,3288.785308749999,8465.187674242416,3307.3886099999995,2814,56
binom,0.5,10,2,0.99,4,11.5,3660.541250000001,3651.664557500001,8920.322356060598,3665.3275199999994,5249,6708
binom,0.5,10,2,0.99,5,11.5,3441.660749999999,3421.025680666666,8799.625832121204,3441.1378049999994,1148,5979
binom,0.5,10,2,0.99,6,11.5,3227.477875,3215.1166082499994,9902.227522727273,3254.9870949999986,8373,3157
